"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20190129212656","Upper Jay","NY","East Branch Ausable River","01/24/2019","2019","Break-up","44.33583889","-73.77538056","-","-","Not Flooding","-"
"20190129212255","Gibbon","NE","Platte River","01/25/2019","2019","Unknown","40.71593056","-98.73498056","-","-","Not Flooding","-"
"20190129211736","East China","MI","St. Clair River","01/24/2019","2019","Break-up","42.70343611","-82.49261944","-","-","Causing Flooding","-"
"20190129211414","Eddington","ME","Penobscot River","01/22/2019","2019","Freeze-up","44.826667","-68.696667","-","-","Not Flooding","-"
"20190129215910","Tunbridge","VT","White River","01/28/2019","2019","Break-up","43.886","-72.49703333","-","-","Unknown","-"
"20190129215334","Richmond","VT"," Winooski River","01/24/2019","2019","Break-up","44.40105556","-72.99727778","-","-","Not Flooding","-"
"20190129215158","Barre","VT","Stevens Branch","01/24/2019","2019","Break-up","44.19638889","-72.50350833","-","-","Not Flooding","-"
"20190129215052","East Haven","VT","Passumpsic River","01/24/2019","2019","Break-up","44.63388889","-71.89805556","-","-","Not Flooding","-"
"20190129214930","Lincoln","VT","New Haven River","01/24/2019","2019","Break-up","44.10556389","-72.99718056","-","-","Not Flooding","-"
"20190129214822","Moretown","VT","Mad River","01/24/2019","2019","Break-up","44.27722222","-72.74305556","-","-","Not Flooding","-"
